LECROYDDA3000 10053 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 14-Jan-2002 02:43:06 0                 
Time Ampl
-2.500017e-006 0.00759595
-2.499967e-006 0.0167456
-2.499917e-006 0.023651
-2.499867e-006 0.0177814
-2.499817e-006 0.00776858
-2.499767e-006 0.0058696
-2.499717e-006 0.00431588
-2.499667e-006 -0.00776858
-2.499617e-006 -0.0112213
-2.499567e-006 0.00258953
-2.499517e-006 0.0129476
-2.499467e-006 0.00966757
-2.499417e-006 0.00725068
-2.499367e-006 0.0110486
-2.499317e-006 0.0138108
-2.499267e-006 0.00483378
-2.499217e-006 0.00362534
-2.499167e-006 0.0138108
-2.499117e-006 0.0158824
-2.499067e-006 0.0174361
-2.499017e-006 0.018472
-2.498967e-006 0.0139834
-2.498917e-006 0.0158824
-2.498867e-006 0.0229605
-2.498817e-006 0.0227878
-2.498767e-006 0.0115666
-2.498717e-006 0.0141561
-2.498667e-006 0.0271037
-2.498617e-006 0.0314196
-2.498567e-006 0.0291753
-2.498517e-006 0.0219247
-2.498467e-006 0.027449
-2.498417e-006 0.0371166
-2.498367e-006 0.0443672
-2.498317e-006 0.0443672
-2.498267e-006 0.0277943
-2.498217e-006 0.0153645
-2.498167e-006 0.0279669
-2.498117e-006 0.0376345
-2.498067e-006 0.0336639
-2.498017e-006 0.0362534
-2.497967e-006 0.0272764
-2.497917e-006 0.00949493
-2.497867e-006 -0.00397061
-2.497817e-006 -0.00845912
-2.497767e-006 0.0101855
-2.497717e-006 0.0241689
-2.497667e-006 0.0181267
-2.497617e-006 0.0191625
-2.497567e-006 0.019853
-2.497517e-006 0.0148466
-2.497467e-006 0.00569696
-2.497417e-006 -0.00120845
-2.497367e-006 0.00466115
-2.497317e-006 0.0034527
-2.497267e-006 -0.00845912
-2.497217e-006 -0.0227878
-2.497167e-006 -0.0226152
-2.497117e-006 -0.00604223
-2.497067e-006 0.00656014
-2.497017e-006 0.00483378
-2.496967e-006 -0.00742331
-2.496917e-006 -0.0110486
-2.496867e-006 -0.0138108
-2.496817e-006 -0.0214068
-2.496767e-006 -0.0215794
-2.496717e-006 -0.0162277
-2.496667e-006 -0.00656014
-2.496617e-006 -0.00500642
-2.496567e-006 -0.0201983
-2.496517e-006 -0.0262405
-2.496467e-006 -0.0196804
-2.496417e-006 -0.0148466
-2.496367e-006 -0.0110486
-2.496317e-006 -0.00276216
-2.496267e-006 0.0034527
-2.496217e-006 0.00258953
-2.496167e-006 0.00189899
-2.496117e-006 0.00138108
-2.496067e-006 0.00656014
-2.496017e-006 0.0158824
-2.495967e-006 0.0174361
-2.495917e-006 0.0131203
-2.495867e-006 0.0153645
-2.495817e-006 0.0226152
-2.495767e-006 0.0279669
-2.495717e-006 0.0264132
-2.495667e-006 0.0253774
-2.495617e-006 0.0300385
-2.495567e-006 0.0281395
-2.495517e-006 0.0265858
-2.495467e-006 0.036426
-2.495417e-006 0.0438493
-2.495367e-006 0.0384976
-2.495317e-006 0.0288301
-2.495267e-006 0.021752
-2.495217e-006 0.021752
-2.495167e-006 0.027449
-2.495117e-006 0.0260679
-2.495067e-006 0.0139834
-2.495017e-006 0.0160551
-2.494967e-006 0.0395334
-2.494917e-006 0.0407419
-2.494867e-006 0.0250321
-2.494817e-006 0.0188172
-2.494767e-006 0.0252047
-2.494717e-006 0.0353902
-2.494667e-006 0.0265858
-2.494617e-006 0.00897703
-2.494567e-006 0.0122571
-2.494517e-006 0.0201983
-2.494467e-006 0.00966757
-2.494417e-006 -0.0093223
-2.494367e-006 -0.0179541
-2.494317e-006 -0.0189899
-2.494267e-006 -0.0252047
-2.494217e-006 -0.0300385
-2.494167e-006 -0.0279669
-2.494117e-006 -0.0155372
-2.494067e-006 -0.00621487
-2.494017e-006 -0.00466115
-2.493967e-006 -0.0034527
-2.493917e-006 -0.00258953
-2.493867e-006 -0.00189899
-2.493817e-006 -0.00690541
-2.493767e-006 -0.0162277
-2.493717e-006 -0.0122571
-2.493667e-006 0.00189899
-2.493617e-006 0.00138108
-2.493567e-006 -0.00448851
-2.493517e-006 0.00759595
-2.493467e-006 0.0167456
-2.493417e-006 0.00707804
-2.493367e-006 0.00535169
-2.493317e-006 0.0150193
-2.493267e-006 0.0112213
-2.493217e-006 -0.00258953
-2.493167e-006 -0.0129476
-2.493117e-006 -0.0151919
-2.493067e-006 -0.0058696
-2.493017e-006 0.00103581
-2.492967e-006 0.0117392
-2.492917e-006 0.019853
-2.492867e-006 0.0148466
-2.492817e-006 0.0112213
-2.492767e-006 0.00845912
-2.492717e-006 0.0063875
-2.492667e-006 -0.000690541
-2.492617e-006 0.00500642
-2.492567e-006 0.0201983
-2.492517e-006 0.00966757
-2.492467e-006 -0.014674
-2.492417e-006 -0.0220973
-2.492367e-006 0
-2.492317e-006 0.0219247
-2.492267e-006 0.0219247
-2.492217e-006 0.016573
-2.492167e-006 0.0179541
-2.492117e-006 0.0189899
-2.492067e-006 0.0141561
-2.492017e-006 0.0162277
-2.491967e-006 0.0120845
-2.491917e-006 0.00362534
-2.491867e-006 -0.00276216
-2.491817e-006 -0.00207162
-2.491767e-006 0.0150193
-2.491717e-006 0.0167456
-2.491667e-006 0.00707804
-2.491617e-006 0.00535169
-2.491567e-006 0.00949493
-2.491517e-006 0.023651
-2.491467e-006 0.0341818
-2.491417e-006 0.0367713
-2.491367e-006 0.0276216
-2.491317e-006 0.00966757
-2.491267e-006 0.00172635
-2.491217e-006 -0.00414324
-2.491167e-006 -0.00310743
-2.491117e-006 0.00863176
-2.491067e-006 0.0229605
-2.491017e-006 0.0227878
-2.490967e-006 0.0115666
-2.490917e-006 0.0141561
-2.490867e-006 0.0107034
-2.490817e-006 -0.0029348
-2.490767e-006 -0.00776858
-2.490717e-006 -0.00034527
-2.490667e-006 0.0107034
-2.490617e-006 0.00811385
-2.490567e-006 0.000517905
-2.490517e-006 -0.00500642
-2.490467e-006 -0.00379797
-2.490417e-006 0.00258953
-2.490367e-006 -0.0034527
-2.490317e-006 -0.00811385
-2.490267e-006 0.00483378
-2.490217e-006 0.031247
-2.490167e-006 0.034527
-2.490117e-006 0.0093223
-2.490067e-006 -0.00397061
-2.490017e-006 -0.0029348
-2.489967e-006 0.00328007
-2.489917e-006 0.00241689
-2.489867e-006 0.00189899
-2.489817e-006 0.00138108
-2.489767e-006 -0.00448851
-2.489717e-006 0.0131203
-2.489667e-006 0.0429862
-2.489617e-006 0.0597318
-2.489567e-006 0.0559338
-2.489517e-006 0.0419503
-2.489467e-006 0.0260679
-2.489417e-006 0.0139834
-2.489367e-006 0.0160551
-2.489317e-006 0.0176088
-2.489267e-006 0.0186446
-2.489217e-006 0.0195078
-2.489167e-006 0.0201983
-2.489117e-006 0.0315922
-2.489067e-006 0.040224
-2.489017e-006 0.0302112
-2.488967e-006 0.0227878
-2.488917e-006 0.0281395
-2.488867e-006 0.0210615
-2.488817e-006 0.0103581
-2.488767e-006 0.0188172
-2.488717e-006 0.0250321
-2.488667e-006 0.0188172
-2.488617e-006 0.0196804
-2.488567e-006 0.031247
-2.488517e-006 0.034527
-2.488467e-006 0.0203709
-2.488417e-006 0.00431588
-2.488367e-006 0.00328007
-2.488317e-006 0.00241689
-2.488267e-006 -0.014674
-2.488217e-006 -0.0276216
-2.488167e-006 -0.0207162
-2.488117e-006 -0.00448851
-2.488067e-006 0.00207162
-2.488017e-006 -0.00397061
-2.487967e-006 -0.0029348
-2.487917e-006 0.00880439
-2.487867e-006 0.0120845
-2.487817e-006 -0.00189899
