LECROYDDA3000 10053 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 14-Jan-2002 02:38:03 0                 
Time Ampl
-2.5000454e-006 -0.00310743
-2.4999954e-006 -0.00776858
-2.4999454e-006 0.00517905
-2.4998954e-006 0.0258953
-2.4998454e-006 0.0359081
-2.4997954e-006 0.0269311
-2.4997454e-006 0.0093223
-2.4996954e-006 0.00138108
-2.4996454e-006 0.00103581
-2.4995954e-006 0.000863176
-2.4995454e-006 0.0115666
-2.4994954e-006 0.0196804
-2.4994454e-006 0.0203709
-2.4993954e-006 0.0151919
-2.4993454e-006 0.000517905
-2.4992954e-006 -0.0162277
-2.4992454e-006 -0.0286574
-2.4991954e-006 -0.0324554
-2.4991454e-006 -0.0353902
-2.4990954e-006 -0.0321101
-2.4990454e-006 -0.0350449
-2.4989954e-006 -0.0428135
-2.4989454e-006 -0.0376345
-2.4988954e-006 -0.0283122
-2.4988454e-006 -0.0157098
-2.4987954e-006 -0.0063875
-2.4987454e-006 -0.00466115
-2.4986954e-006 -0.00362534
-2.4986454e-006 -0.00258953
-2.4985954e-006 -0.0129476
-2.4985454e-006 -0.0262405
-2.4984954e-006 -0.0252047
-2.4984454e-006 -0.0245142
-2.4983954e-006 -0.0238237
-2.4983454e-006 -0.00690541
-2.4982954e-006 0.0169182
-2.4982454e-006 0.0291753
-2.4981954e-006 0.0219247
-2.4981454e-006 0.010876
-2.4980954e-006 0.0191625
-2.4980454e-006 0.0253774
-2.4979954e-006 0.0191625
-2.4979454e-006 0.0309017
-2.4978954e-006 0.0452304
-2.4978454e-006 0.0284848
-2.4977954e-006 -0.000690541
-2.4977454e-006 -0.00604223
-2.4976954e-006 0.00656014
-2.4976454e-006 0.0158824
-2.4975954e-006 0.0119118
-2.4975454e-006 0.00897703
-2.4974954e-006 0.0122571
-2.4974454e-006 -0.00189899
-2.4973954e-006 -0.00690541
-2.4973454e-006 0.0058696
-2.4972954e-006 0.0098402
-2.4972454e-006 0.00742331
-2.4971954e-006 0
-2.4971454e-006 -0.0164003
-2.4970954e-006 -0.0233057
-2.4970454e-006 -0.0120845
-2.4969954e-006 -0.00897703
-2.4969454e-006 -0.0177814
-2.4968954e-006 -0.0243416
-2.4968454e-006 -0.0238237
-2.4967954e-006 -0.0179541
-2.4967454e-006 -0.0189899
-2.4966954e-006 -0.0141561
-2.4966454e-006 0.0058696
-2.4965954e-006 0.00431588
-2.4965454e-006 -0.00224426
-2.4964954e-006 0.0093223
-2.4964454e-006 0.0290027
-2.4963954e-006 0.0438493
-2.4963454e-006 0.0438493
-2.4962954e-006 0.044022
-2.4962454e-006 0.0384976
-2.4961954e-006 0.0290027
-2.4961454e-006 0.0272764
-2.4960954e-006 0.0314196
-2.4960454e-006 0.0346997
-2.4959954e-006 0.0260679
-2.4959454e-006 0.0139834
-2.4958954e-006 0.0105307
-2.4958454e-006 0.00794122
-2.4957954e-006 0.00034527
-2.4957454e-006 0.00034527
-2.4956954e-006 0.0112213
-2.4956454e-006 0.0139834
-2.4955954e-006 0.0105307
-2.4955454e-006 0.0188172
-2.4954954e-006 0.0252047
-2.4954454e-006 0.0134655
-2.4953954e-006 -0.0119118
-2.4953454e-006 -0.036426
-2.4952954e-006 -0.0329733
-2.4952454e-006 -0.00811385
-2.4951954e-006 -0.000690541
-2.4951454e-006 -0.0170909
-2.4950954e-006 -0.0238237
-2.4950454e-006 -0.0233057
-2.4949954e-006 -0.0340091
-2.4949454e-006 -0.042123
-2.4948954e-006 -0.0371166
-2.4948454e-006 -0.0222699
-2.4947954e-006 -0.0112213
-2.4947454e-006 -0.0139834
-2.4946954e-006 -0.0215794
-2.4946454e-006 -0.0271037
-2.4945954e-006 -0.0258953
-2.4945454e-006 -0.0195078
-2.4944954e-006 -0.00362534
-2.4944454e-006 0.00828649
-2.4943954e-006 0.000690541
-2.4943454e-006 -0.0158824
-2.4942954e-006 -0.0340091
-2.4942454e-006 -0.0365987
-2.4941954e-006 -0.027449
-2.4941454e-006 -0.0205436
-2.4940954e-006 -0.0264132
-2.4940454e-006 -0.036426
-2.4939954e-006 -0.0438493
-2.4939454e-006 -0.0438493
-2.4938954e-006 -0.0329733
-2.4938454e-006 -0.0302112
-2.4937954e-006 -0.0336639
-2.4937454e-006 -0.0309017
-2.4936954e-006 -0.0286574
-2.4936454e-006 -0.0271037
-2.4935954e-006 -0.0257226
-2.4935454e-006 -0.0248595
-2.4934954e-006 -0.0186446
-2.4934454e-006 -0.00845912
-2.4933954e-006 -0.0063875
-2.4933454e-006 -0.00483378
-2.4932954e-006 0.0129476
-2.4932454e-006 0.0317649
-2.4931954e-006 0.0348723
-2.4931454e-006 0.0260679
-2.4930954e-006 0.0141561
-2.4930454e-006 0.00517905
-2.4929954e-006 -0.00172635
-2.4929454e-006 -0.00120845
-2.4928954e-006 0.00448851
-2.4928454e-006 0.0034527
-2.4927954e-006 0.00258953
-2.4927454e-006 0.00742331
-2.4926954e-006 0.0110486
-2.4926454e-006 0.00828649
-2.4925954e-006 0.000690541
-2.4925454e-006 0.000517905
-2.4924954e-006 0.0113939
-2.4924454e-006 0.0141561
-2.4923954e-006 0.00500642
-2.4923454e-006 -0.00725068
-2.4922954e-006 -0.00535169
-2.4922454e-006 0.00690541
-2.4921954e-006 -0.00034527
-2.4921454e-006 -0.0222699
-2.4920954e-006 -0.0277943
-2.4920454e-006 -0.0098402
-2.4919954e-006 -0.00189899
-2.4919454e-006 -0.0124297
-2.4918954e-006 -0.0203709
-2.4918454e-006 -0.0151919
-2.4917954e-006 -0.0058696
-2.4917454e-006 -0.00448851
-2.4916954e-006 -0.00328007
-2.4916454e-006 0.0029348
-2.4915954e-006 0.0132929
-2.4915454e-006 0.00448851
-2.4914954e-006 -0.0186446
-2.4914454e-006 -0.0305564
-2.4913954e-006 -0.0229605
-2.4913454e-006 -0.000690541
-2.4912954e-006 0.0160551
-2.4912454e-006 0.0174361
-2.4911954e-006 0.00759595
-2.4911454e-006 0.000172635
-2.4910954e-006 0.00569696
-2.4910454e-006 0.0098402
-2.4909954e-006 0.012775
-2.4909454e-006 0.0151919
-2.4908954e-006 0.0113939
-2.4908454e-006 0.00845912
-2.4907954e-006 0.000863176
-2.4907454e-006 -0.0103581
-2.4906954e-006 -0.0132929
-2.4906454e-006 -0.00448851
-2.4905954e-006 -0.00328007
-2.4905454e-006 -0.00258953
-2.4904954e-006 0.00362534
-2.4904454e-006 -0.00276216
-2.4903954e-006 -0.00759595
-2.4903454e-006 0.00535169
-2.4902954e-006 0.0205436
-2.4902454e-006 0.0153645
-2.4901954e-006 0.000517905
-2.4901454e-006 0.0058696
-2.4900954e-006 0.0208889
-2.4900454e-006 0.0267584
-2.4899954e-006 0.0200257
-2.4899454e-006 0.00414324
-2.4898954e-006 -0.00241689
-2.4898454e-006 -0.00189899
-2.4897954e-006 -0.0124297
-2.4897454e-006 -0.031247
-2.4896954e-006 -0.0290027
-2.4896454e-006 -0.0107034
-2.4895954e-006 -0.00258953
-2.4895454e-006 -0.00189899
-2.4894954e-006 -0.00138108
-2.4894454e-006 0.00448851
-2.4893954e-006 0.00328007
-2.4893454e-006 -0.00845912
-2.4892954e-006 -0.0063875
-2.4892454e-006 0.00621487
-2.4891954e-006 0.00466115
-2.4891454e-006 -0.00207162
-2.4890954e-006 0.00397061
-2.4890454e-006 0.00845912
-2.4889954e-006 0.0063875
-2.4889454e-006 0.0103581
-2.4888954e-006 0.0188172
-2.4888454e-006 0.0360807
-2.4887954e-006 0.0381524
-2.4887454e-006 0.0286574
-2.4886954e-006 0.0269311
-2.4886454e-006 0.0148466
-2.4885954e-006 0.00552432
-2.4885454e-006 0.00414324
-2.4884954e-006 -0.00241689
-2.4884454e-006 -0.012775
-2.4883954e-006 -0.00414324
-2.4883454e-006 0.00241689
-2.4882954e-006 -0.00914966
-2.4882454e-006 -0.0124297
-2.4881954e-006 -0.0148466
-2.4881454e-006 -0.0220973
-2.4880954e-006 -0.0220973
-2.4880454e-006 -0.016573
-2.4879954e-006 -0.0179541
-2.4879454e-006 -0.0245142
-2.4878954e-006 -0.029348
-2.4878454e-006 -0.0386703
-2.4877954e-006 -0.0564517
-2.4877454e-006 -0.0699172
-2.4876954e-006 -0.0690541
-2.4876454e-006 -0.0573149
-2.4875954e-006 -0.0376345
-2.4875454e-006 -0.0226152
-2.4874954e-006 -0.0170909
-2.4874454e-006 -0.0182993
-2.4873954e-006 -0.0191625
-2.4873454e-006 -0.0145014
-2.4872954e-006 -0.027449
-2.4872454e-006 -0.0479926
-2.4871954e-006 -0.0526537
-2.4871454e-006 -0.0395334
-2.4870954e-006 -0.0296932
-2.4870454e-006 -0.0222699
-2.4869954e-006 -0.0112213
-2.4869454e-006 -0.0029348
-2.4868954e-006 0.00328007
-2.4868454e-006 0.00794122
-2.4867954e-006 0.0115666
-2.4867454e-006 0.00310743
-2.4866954e-006 -0.0141561
-2.4866454e-006 -0.0160551
-2.4865954e-006 -0.00656014
-2.4865454e-006 -0.00500642
-2.4864954e-006 -0.00914966
-2.4864454e-006 -0.00690541
-2.4863954e-006 0.00034527
-2.4863454e-006 0.00569696
-2.4862954e-006 0.0098402
-2.4862454e-006 -0.00362534
-2.4861954e-006 -0.0246868
-2.4861454e-006 -0.0241689
-2.4860954e-006 -0.0181267
-2.4860454e-006 -0.0136382
-2.4859954e-006 -0.0101855
-2.4859454e-006 -0.00759595
-2.4858954e-006 -0.00569696
-2.4858454e-006 -0.00431588
-2.4857954e-006 0.00224426
-2.4857454e-006 0.00725068
-2.4856954e-006 0.00535169
-2.4856454e-006 -0.00138108
-2.4855954e-006 0.00448851
-2.4855454e-006 0.00880439
-2.4854954e-006 0.00103581
-2.4854454e-006 -0.0101855
-2.4853954e-006 -0.0131203
-2.4853454e-006 0.00120845
-2.4852954e-006 0.0174361
-2.4852454e-006 0.0295206
-2.4851954e-006 0.0331459
-2.4851454e-006 0.0195078
-2.4850954e-006 0.00362534
-2.4850454e-006 -0.00276216
-2.4849954e-006 0.0034527
-2.4849454e-006 0.00811385
-2.4848954e-006 0.0115666
-2.4848454e-006 0.0196804
-2.4847954e-006 0.0203709
-2.4847454e-006 0.00414324
-2.4846954e-006 -0.0132929
-2.4846454e-006 -0.0210615
-2.4845954e-006 -0.0157098
-2.4845454e-006 0.00466115
-2.4844954e-006 0.0145014
-2.4844454e-006 0.0164003
-2.4843954e-006 0.0177814
-2.4843454e-006 0.0134655
-2.4842954e-006 0.0155372
-2.4842454e-006 0.0226152
-2.4841954e-006 0.0279669
-2.4841454e-006 0.0376345
-2.4840954e-006 0.0336639
